mcerow,initial_value,comment
15,1.05E-03,
16,-13,
17,921,
18,-1.20E+01,
19,-0.7,
27,240,
29,-2.31E-03,
30,-4.82E+00,
31,-4.30E+02,
32,-5.00E+00,
33,2.09E+02,
41,8.40E+01,
42,1.55E+02,
44,3.21E-03,
45,-1.80E+01,
46,3.70E+02,
47,-1.30E+01,
48,4.80E-01,
56,1.00E+02,
20,0.00E+00,zeroterms
21,0.00E+00,
22,0.00E+00,
23,0.00E+00,
24,0.00E+00,
25,0.00E+00,
34,0.00E+00,
35,0.00E+00,
36,0.00E+00,
37,0.00E+00,
38,0.00E+00,
39,0.00E+00,
49,0.00E+00,
50,0.00E+00,
51,0.00E+00,
52,0.00E+00,
53,0.00E+00,
54,0.00E+00,
