,x,y,hex_x,hex_y,ring,angle,group
0,0.0,0.0,0,0,0,0.0,0
1,219.0,0.0,1,0,1,0.0,0
2,109.5,189.65956342879207,0,1,1,60.00000000000001,0
3,-109.5,189.65956342879207,-1,1,1,119.99999999999999,0
4,-219.0,0.0,-1,0,1,180.0,0
5,-109.5,-189.65956342879207,0,-1,1,240.0,0
6,109.5,-189.65956342879207,1,-1,1,300.0,0
7,438.0,0.0,2,0,2,0.0,0
8,328.50000000000006,189.65956342879207,1,1,2,29.999999999999996,0
9,219.0,379.31912685758414,0,2,2,60.00000000000001,0
10,0.0,379.31912685758414,-1,2,2,90.0,0
11,-219.0,379.31912685758414,-2,2,2,119.99999999999999,0
12,-328.50000000000006,189.65956342879207,-2,1,2,150.0,0
13,-438.0,0.0,-2,0,2,180.0,0
14,-328.50000000000006,-189.65956342879207,-1,-1,2,210.0,0
15,-219.0,-379.31912685758414,0,-2,2,240.0,0
16,0.0,-379.31912685758414,1,-2,2,270.0,0
17,219.0,-379.31912685758414,2,-2,2,300.0,0
18,328.50000000000006,-189.65956342879207,2,-1,2,330.0,0
19,328.50000000000006,568.9786902863763,0,3,3,59.99999999999999,1
20,109.50000000000003,568.9786902863763,-1,3,3,79.1066053508691,1
21,-109.49999999999997,568.9786902863763,-2,3,3,100.8933946491309,1
22,-328.50000000000006,568.9786902863763,-3,3,3,120.00000000000001,1
23,438.0,758.6382537151683,0,4,4,60.00000000000001,1
24,219.0,758.6382537151683,-1,4,4,73.89788624801399,1
25,0.0,758.6382537151683,-2,4,4,90.0,1
26,-219.00000000000006,758.6382537151683,-3,4,4,106.10211375198602,1
27,-438.0,758.6382537151683,-4,4,4,119.99999999999999,1
28,657.0000000000001,758.6382537151683,1,4,5,49.106605350869096,1
29,328.5,948.2978171439604,-1,5,5,70.89339464913091,1
30,109.49999999999997,948.2978171439604,-2,5,5,83.41322444637055,1
31,-109.50000000000009,948.2978171439604,-3,5,5,96.58677555362947,1
32,-328.50000000000006,948.2978171439604,-4,5,5,109.1066053508691,1
33,-657.0,758.6382537151683,-5,4,5,130.89339464913093,1
34,-438.00000000000006,379.31912685758414,-3,2,3,139.1066053508691,2
35,-547.5000000000001,189.65956342879207,-3,1,3,160.8933946491309,2
36,-657.0000000000001,0.0,-3,0,3,180.0,2
37,-547.5,-189.65956342879207,-2,-1,3,199.1066053508691,2
38,-438.0,-379.31912685758414,-1,-2,3,220.8933946491309,2
39,-547.5,568.9786902863763,-4,3,4,133.89788624801398,2
40,-657.0000000000001,379.31912685758414,-4,2,4,150.0,2
41,-766.5,189.65956342879207,-4,1,4,166.10211375198602,2
42,-876.0,0.0,-4,0,4,180.0,2
43,-766.5,-189.65956342879207,-3,-1,4,193.89788624801398,2
44,-657.0000000000001,-379.31912685758414,-2,-2,4,210.0,2
45,-547.5,-568.9786902863763,-1,-3,4,226.10211375198602,2
46,-766.4999999999999,568.9786902863763,-5,3,5,143.41322444637052,2
47,-876.0,379.31912685758414,-5,2,5,156.58677555362945,2
48,-985.5,189.65956342879207,-5,1,5,169.1066053508691,2
49,-985.5,-189.65956342879207,-4,-1,5,190.8933946491309,2
50,-876.0,-379.31912685758414,-3,-2,5,203.41322444637055,2
51,-766.5,-568.9786902863763,-2,-3,5,216.58677555362948,2
52,-328.50000000000006,-568.9786902863763,0,-3,3,240.0,3
53,-109.50000000000003,-568.9786902863763,1,-3,3,259.1066053508691,3
54,109.49999999999997,-568.9786902863763,2,-3,3,280.89339464913087,3
55,328.50000000000006,-568.9786902863763,3,-3,3,300.0,3
56,-438.0,-758.6382537151683,0,-4,4,240.0,3
57,-219.0,-758.6382537151683,1,-4,4,253.89788624801398,3
58,0.0,-758.6382537151683,2,-4,4,270.0,3
59,219.00000000000006,-758.6382537151683,3,-4,4,286.102113751986,3
60,438.0,-758.6382537151683,4,-4,4,300.0,3
61,-657.0000000000001,-758.6382537151683,-1,-4,5,229.10660535086907,3
62,-328.5,-948.2978171439604,1,-5,5,250.89339464913093,3
63,-109.49999999999997,-948.2978171439604,2,-5,5,263.4132244463705,3
64,109.50000000000009,-948.2978171439604,3,-5,5,276.5867755536295,3
65,328.50000000000006,-948.2978171439604,4,-5,5,289.1066053508691,3
66,657.0,-758.6382537151683,5,-4,5,310.8933946491309,3
67,657.0000000000001,0.0,3,0,3,0.0,4
68,547.5,189.65956342879207,2,1,3,19.106605350869096,4
69,438.0,379.31912685758414,1,2,3,40.893394649130904,4
70,438.00000000000006,-379.31912685758414,3,-2,3,319.1066053508691,4
71,547.5000000000001,-189.65956342879207,3,-1,3,340.8933946491309,4
72,876.0,0.0,4,0,4,0.0,4
73,766.5,189.65956342879207,3,1,4,13.897886248013984,4
74,657.0000000000001,379.31912685758414,2,2,4,29.999999999999996,4
75,547.5,568.9786902863763,1,3,4,46.102113751986025,4
76,547.5,-568.9786902863763,4,-3,4,313.89788624801395,4
77,657.0000000000001,-379.31912685758414,4,-2,4,330.0,4
78,766.5,-189.65956342879207,4,-1,4,346.102113751986,4
79,985.5,189.65956342879207,4,1,5,10.893394649130906,4
80,876.0,379.31912685758414,3,2,5,23.41322444637054,4
81,766.5,568.9786902863763,2,3,5,36.58677555362947,4
82,766.4999999999999,-568.9786902863763,5,-3,5,323.4132244463705,4
83,876.0,-379.31912685758414,5,-2,5,336.5867755536295,4
84,985.5,-189.65956342879207,5,-1,5,349.1066053508691,4
